Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
41332,2004,08/01/2005,New Britain,141 MAPLE ST,88830.0,238000.0,0.373235294,Residential,Single Family,14 - Foreclosure,SALE OF FORCLOSED PROPERTY,DUPLICATE ENTRY - SEE #170256,POINT (-73.208416986 41.92382102)
190276,2019,02/19/2020,Shelton,14 EMILY LN,63940.0,242500.0,0.263670103,Residential,Single Family,14 - Foreclosure,BUILDING LOT,DUPLICATE ENTRY - SEE #170256,POINT (-73.208416986 41.92382102)
150161,2015,01/29/2016,Southbury,319 B HERITAGE VILLAGE,102460.0,172000.0,0.595697674,Condo,Condo,14 - Foreclosure,BUILDING LOT,DUPLICATE ENTRY - SEE #170256,POINT (-73.208416986 41.92382102)
170010,2017,10/16/2017,Tolland,75 DOYLE ROAD,213600.0,209000.0,1.022009569,Single Family,Single Family,25 - Other,CRUMBLING FOUNDATION,DUPLICATE ENTRY - SEE #170256,POINT (-72.40091 41.87939)
160377,2016,03/07/2017,Bristol,50 EASTWOOD RD,180880.0,235000.0,0.769702128,Single Family,Single Family,25 - Other,CRUMBLING FOUNDATION,DUPLICATE ENTRY - SEE #170256,POINT (-72.40091 41.87939)
210643,2021,03/18/2022,Bristol,44 BURTON ST,119650.0,265000.0,0.4515,Residential,Single Family,25 - Other,CRUMBLING FOUNDATION,DUPLICATE ENTRY - SEE #170256,POINT (-72.90151402 41.689771)
160961,2016,08/08/2017,Danbury,37 SKYLINE DR,148200.0,239999.0,0.617502573,Single Family,Single Family,25 - Other,K14205,DUPLICATE ENTRY - SEE #170256,POINT (-72.90151402 41.689771)
100561,2010,06/30/2011,West Hartford,169 OAKWOOD AVENUE,138800.0,220000.0,0.630909091,Single Family,Single Family,25 - Other,K14205,DUPLICATE ENTRY - SEE #170256,POINT (-72.90151402 41.689771)
30523,2003,10/01/2003,Waterbury,34 COUNTRY CLB WOODS CIR,166110.0,245000.0,0.678,Single Family,Single Family,25 - Other,K14205,DUPLICATE ENTRY - SEE #170256,POINT (-72.90151402 41.689771)
100003,2010,10/13/2010,Wolcott,21 WOODBERRY CT,258910.0,369900.0,0.699945931,Single Family,Single Family,25 - Other,K14205,DUPLICATE ENTRY - SEE #170256,POINT (-72.96763 41.5786)
90109,2009,03/29/2010,East Hampton,71 CHESTNUT HILL RD,142000.0,105000.0,1.352380952,Single Family,Single Family,25 - Other,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.96763 41.5786)
40085,2004,11/16/2004,Stonington,37 WILLIAM ST,117100.0,225000.0,0.520444444,Single Family,Single Family,25 - Other,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.96763 41.5786)
32622,2003,09/15/2004,Waterbury,134 HUBBELL AVE,87850.0,160000.0,0.5490625,Single Family,Single Family,25 - Other,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.96763 41.5786)
180143,2018,11/30/2018,New Haven,15 DEWITT ST,85750.0,180000.0,0.4763,Two Family,Two Family,25 - Other,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.96763 41.5786)
50419,2005,12/09/2005,Hartford,159-161 BOND ST,52430.0,189450.0,0.276748482,Two Family,Two Family,25 - Other,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.68049 41.74375)
140164,2014,04/08/2015,Brookfield,30 LEDGEWOOD DRIVE,173500.0,205000.0,0.846341463,Condo,Condo,25 - Other,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.68049 41.74375)
10062,2001,10/12/2001,West Hartford,5 HENLEY WAY,11200.0,223411.0,0.05013182,Condo,Condo,7,estate sale,DUPLICATE ENTRY - SEE #170256,POINT (-72.68049 41.74375)
21082,2021,12/01/2021,Bethel,104 HOYTS HILL ROAD,171080.0,405000.0,0.422419753,Residential,Single Family,7,SOLD WITH HOYTS HILL,DUPLICATE ENTRY - SEE #170256,POINT (-73.395810022 41.371063004)
130057,2013,06/17/2014,Thomaston,143 PINE HILL RD U19A,66710.0,83000.0,0.80373494,Condo,Condo,7,SOLD WITH HOYTS HILL,DUPLICATE ENTRY - SEE #170256,POINT (-73.395810022 41.371063004)
190401,2019,07/14/2020,Westport,28 MEADOW VIEW DRIVE,897900.0,1160000.0,0.7741,Single Family,Single Family,7,SOLD WITH HOYTS HILL,DUPLICATE ENTRY - SEE #170256,POINT (-73.395810022 41.371063004)
190729,2019,07/24/2020,Greenwich,115 FIELD POINT CIRCLE,6421450.0,11207500.0,0.573,Single Family,Single Family,25 - Other,Not listed.,DUPLICATE ENTRY - SEE #170256,POINT (-73.395810022 41.371063004)
180167,2018,11/30/2018,New Britain,132 GLEN ST + 56 WHITING ST,185290.0,125000.0,1.4823,Single Family,Single Family,25 - Other,Sale price is not reflective of market value for this type of property,DUPLICATE ENTRY - SEE #170256,POINT (-73.395810022 41.371063004)
160015,2016,10/28/2016,Essex,1 WINDSWEPT RIDGE ROAD,302300.0,301875.0,1.001407867,Single Family,Single Family,14 - Foreclosure,Sale by the bank of a foreclosed property,DUPLICATE ENTRY - SEE #170256,POINT (-73.395810022 41.371063004)
80069,2008,05/27/2009,Brooklyn,3 GRANDVIEW TERR,118970.0,93000.0,1.279247312,Single Family,Single Family,14 - Foreclosure,Sale by the bank of a foreclosed property,DUPLICATE ENTRY - SEE #170256,POINT (-71.92188 41.77767)
40206,2004,10/21/2004,Stamford,34 MELROSE PL,131820.0,325000.0,0.4056,Single Family,Single Family,16,Sale by the bank of a foreclosed property,DUPLICATE ENTRY - SEE #170256,POINT (-71.92188 41.77767)
90017,2009,06/18/2010,Bridgewater,315 NEW MILFORD RD EAST,225500.0,294192.0,0.766506227,Single Family,Single Family,18 - In Lieu Of Foreclosure,Sale by the bank of a foreclosed property,DUPLICATE ENTRY - SEE #170256,POINT (-71.92188 41.77767)
22167,2022,06/16/2023,Wilton,274 CHESTNUT HILL RD,769090.0,1075000.0,0.7154,Residential,Single Family,08 - Part Interest,1/2 INTEREST - SEE 22166,DUPLICATE ENTRY - SEE #170256,POINT (-73.397124975 41.189515004)
100506,2010,03/24/2011,Stamford,140 GROVE STREET #G-3B,143460.0,135000.0,1.062666667,Condo,Condo,08 - Part Interest,1/2 INTEREST - SEE 22166,DUPLICATE ENTRY - SEE #170256,POINT (-73.53395 41.0587)
150230,2015,12/30/2015,West Hartford,193 WESTLAND AVENUE,295190.0,480000.0,0.614979167,Single Family,Single Family,08 - Part Interest,1/2 INTEREST - SEE 22166,DUPLICATE ENTRY - SEE #170256,POINT (-73.53395 41.0587)
11008,2011,04/03/2012,Bethlehem,59 SUNNY RIDGE RD,190800.0,207524.0,0.919411731,Single Family,Single Family,01 - Family,1/2 INTEREST - SEE 22166,DUPLICATE ENTRY - SEE #170256,POINT (-73.53395 41.0587)
90040,2009,11/12/2009,Waterford,251 BOSTON POST RD,148940.0,180000.0,0.827444444,Single Family,Single Family,01 - Family,1/2 INTEREST - SEE 22166,DUPLICATE ENTRY - SEE #170256,POINT (-72.14196 41.34707)
40415,2004,02/11/2005,West Haven,5 TREAT ST 1C,22960.0,60000.0,0.382666667,Single Family,Single Family,01 - Family,1/2 INTEREST - SEE 22166,DUPLICATE ENTRY - SEE #170256,POINT (-72.14196 41.34707)
220126,2022,11/09/2022,West Hartford,45 ARNOLD WAY + GARAGE 3B,116130.0,190000.0,0.6112,Residential,Condo,25 - Other,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.737882004 41.764916019)
50419,2005,01/20/2006,Manchester,25 EDMUND ST,94300.0,226900.0,0.415601587,Residential,Condo,25 - Other,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.737882004 41.764916019)
170242,2017,12/21/2017,Meriden,624 WEST MAIN ST,72240.0,92500.0,0.780972973,Single Family,Single Family,25 - Other,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.737882004 41.764916019)
51233,2005,03/14/2006,Waterbury,4 SUFFOLK ST &,81060.0,170000.0,0.476823529,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-73.05531 41.58174)
160820,2016,03/17/2017,Stamford,41 RALSEY ROAD,495380.0,642500.0,0.771019455,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-73.05531 41.58174)
80038,2008,11/26/2008,Cromwell,31 SHADOW LANE,241900.0,345000.0,0.70115942,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
49449,2004,03/30/2005,Manchester,86 C AMBASSADOR DR,61300.0,144000.0,0.425694444,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
50041,2005,10/11/2005,Danbury,83 BEAVERBROOK RD,135200.0,293750.0,0.460255319,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
14000095,2014,06/01/2015,Granby,9 BYRON DRIVE,155750.0,226500.0,0.687637969,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
150114,2015,01/20/2016,Simsbury,9 ASHTON CIRCLE,281890.0,350000.0,0.8054,Condo,Condo,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
60845,2006,07/03/2007,Fairfield,164 MILLSPAUGH DR,482860.0,695000.0,0.69476259,Single Family,Single Family,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
80257,2008,07/01/2009,New Milford,59 WILLOW SPRINGS,111300.0,156000.0,0.713461538,Condo,Condo,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
40545,2004,12/03/2004,Hartford,74-76 DEERFIELD AVE,54250.0,150000.0,0.361666667,Condo,Condo,24,"CONDO/GARAGE, 1 DEED",DUPLICATE ENTRY - SEE #170256,POINT (-72.64913 41.61817)
21016,2021,11/10/2021,Salisbury,25 MORGAN LANE,1863900.0,3075000.0,0.6061,Residential,Single Family,24,WATERFRONT,DUPLICATE ENTRY - SEE #170256,POINT (-73.389021015 42.034758987)
19047,2019,01/08/2020,Derby,7 LAUREL AVE,168910.0,279900.0,0.6035,Single Family,Single Family,24,WATERFRONT,DUPLICATE ENTRY - SEE #170256,POINT (-73.389021015 42.034758987)
90159,2009,12/01/2009,Orange,64 ANDREW LA,284700.0,358000.0,0.795251397,Single Family,Single Family,24,WATERFRONT,DUPLICATE ENTRY - SEE #170256,POINT (-73.389021015 42.034758987)
30735,2003,09/13/2004,East Haven,35 RIVER RD,90110.0,265000.0,0.340037736,Single Family,Single Family,24,WATERFRONT,DUPLICATE ENTRY - SEE #170256,POINT (-73.389021015 42.034758987)
180150,2018,01/10/2019,Vernon,655-52 TALCOTTVILLE RD,64510.0,75000.0,0.8601,Condo,Condo,24,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-72.48454 41.85937)
10821,2001,02/05/2002,Stamford,W HILL RD,339850.0,685000.0,0.496131387,Condo,Condo,24,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-72.48454 41.85937)
30352,2003,04/22/2004,Farmington,42 KNOLLWOOD RD,126080.0,209000.0,0.603253589,Condo,Condo,24,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-72.48454 41.85937)
12016,2012,10/16/2012,North Haven,166 SACKETT POINT ROAD,180390.0,239900.0,0.751938308,Single Family,Single Family,24,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-72.86694 41.36777)
120105,2012,11/20/2012,New Britain,124 DWIGHT ST,130480.0,110000.0,1.186181818,Three Family,Three Family,03 - Inter Corporation,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-72.86694 41.36777)
11081,2001,08/21/2002,New Britain,37 ACTON ST,69240.0,80000.0,0.8655,Three Family,Three Family,1,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-72.78958 41.6838)
160748,2016,07/12/2017,Greenwich,2 BRIDLE PATH LANE,4110470.0,4375000.0,0.939536,Single Family,Single Family,1,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-73.58918 41.01456)
160604,2016,01/23/2017,Stamford,9 FROST POND ROAD,525040.0,700000.0,0.750057143,Single Family,Single Family,1,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-73.58918 41.01456)
30621,2003,05/25/2004,New Milford,65 BEARD DR,96040.0,220000.0,0.436545455,Single Family,Single Family,1,58910 ASSMT CONDO UNIT & 5600 ASSMNT GARAGE UNIT,DUPLICATE ENTRY - SEE #170256,POINT (-73.58918 41.01456)
20162,2020,04/01/2021,Winchester,175 NEWFIELD ROAD,34550.0,220000.0,0.157,Vacant Land,Single Family,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-73.58918 41.01456)
80418,2008,03/09/2009,Stamford,485 FAIRFIELD AVENUE #8,248040.0,320000.0,0.775125,Condo,Condo,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-73.58918 41.01456)
170166,2017,01/22/2018,Griswold,71 JOHNSON COVE RD,158410.0,230000.0,0.6887,Single Family,Single Family,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-73.58918 41.01456)
22000219,2022,05/01/2023,Cheshire,39 MAYVIEW AVE,107420.0,270000.0,0.3978,Residential,Single Family,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-72.956903983 41.545164982)
1300178,2013,03/31/2014,Southbury,103 B HERITAGE VILLAGE,58450.0,69000.0,0.847101449,Condo,Condo,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-72.956903983 41.545164982)
21232,2002,09/03/2003,Fairfield,140 JUDD ST,144410.0,331000.0,0.436283988,Condo,Condo,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-72.956903983 41.545164982)
20023,2002,10/24/2002,Coventry,215 N FARMS RD,175140.0,279900.0,0.625723473,Condo,Condo,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-72.956903983 41.545164982)
50167,2005,07/07/2006,Hebron,20 OLDE HALL RD,169200.0,339900.0,0.497793469,Condo,Condo,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-72.956903983 41.545164982)
20304,2002,06/19/2003,New Canaan,123 LONE TREE FARM RD,1373750.0,1840000.0,0.746603261,Condo,Condo,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-73.47686 41.15726)
61002,2006,02/14/2007,Waterbury,137 TOWER RD,99470.0,186000.0,0.534784946,Single Family,Single Family,15 - Government Agency,& 048/154/060D-2 & 048/154/061,DUPLICATE ENTRY - SEE #170256,POINT (-73.47686 41.15726)
120083,2012,04/01/2013,Suffield,1054 NEWGATE RD,195370.0,255000.0,0.766156863,Single Family,Single Family,24 - Plottage,"2 PARCELS, 1 VACANT LAND",DUPLICATE ENTRY - SEE #170256,POINT (-73.47686 41.15726)
50103,2005,12/01/2005,South Windsor,41 BEELZEBUB ST,109280.0,230000.0,0.475130435,Single Family,Single Family,24 - Plottage,"2 PARCELS, 1 VACANT LAND",DUPLICATE ENTRY - SEE #170256,POINT (-73.47686 41.15726)
30362,2003,07/19/2004,Wilton,13 SUNSET PASS,243460.0,74000.0,3.29,Single Family,Single Family,1.0,"2 PARCELS, 1 VACANT LAND",DUPLICATE ENTRY - SEE #170256,POINT (-73.43712 41.25982)
190021,2019,03/31/2020,North Canaan,347 SALISBURY RD,97910.0,34265.0,2.8574,Single Family,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,DUPLICATE ENTRY - SEE #170256,POINT (-73.43712 41.25982)
130558,2013,07/29/2014,Bristol,173 DIVINITY ST,156800.0,235000.0,0.667234043,Two Family,Two Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,DUPLICATE ENTRY - SEE #170256,POINT (-73.43712 41.25982)
200077,2020,10/27/2020,Branford,237 JEFFERSON WOODS,97500.0,200000.0,0.4875,Residential,Condo,07 - Change in Property,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.43712 41.25982)
12412,2012,04/23/2013,Fairfield,24 RAYMONDS CIRCLE,277340.0,62500.0,4.43744,Single Family,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.43712 41.25982)
180336,2018,02/13/2019,Fairfield,57 MOREHOUSE HIGHWAY,455980.0,280000.0,1.6285,Single Family,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.43712 41.25982)
211216,2021,06/28/2022,Norwalk,187 FLAX HILL RD A5,115540.0,210000.0,0.5501,Residential,Condo,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.425438038 41.097791)
220075,2022,10/27/2022,Stratford,95A SEMINOLE LANE,132860.0,435900.0,0.3047,Residential,Condo,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.110466987 41.246360988)
10116,2010,01/21/2011,Groton,272 ELM ST,451780.0,432500.0,1.044578035,Residential,Condo,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.110466987 41.246360988)
61001,2006,07/27/2007,Bristol,164 STEARNS ST,114180.0,208000.0,0.548942308,Single Family,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.110466987 41.246360988)
70773,2007,09/05/2008,Stratford,226 HIGHVIEW DR,205800.0,325000.0,0.633230769,Single Family,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.12664 41.21953)
62462,2006,09/06/2007,Bridgeport,657-659 LAUREL AVE,162260.0,375000.0,0.432693333,Two Family,Two Family,11 - Court Order,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.12664 41.21953)
160002,2016,10/03/2016,Warren,121 NORTH SHORE RD,873250.0,957500.0,0.912010444,Single Family,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.12664 41.21953)
2200132,2022,05/17/2023,Plymouth,51 OLD FARM ROAD,243320.0,435000.0,0.5593,Residential,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.026040016 41.699800995)
20395,2002,03/31/2003,Norwich,10 BURNS ALLEY,20800.0,85000.0,0.244705882,Residential,Single Family,08 - Part Interest,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-73.026040016 41.699800995)
171086,2017,09/12/2018,West Hartford,60 HENLEY WAY,157920.0,210000.0,0.752,Condo,Condo,01 - Family,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-72.73635 41.80424)
40287,2004,07/20/2005,Old Saybrook,138 CHALKER BCH RD,185400.0,425000.0,0.436235294,Condo,Condo,01 - Family,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-72.41268 41.27921)
40285,2004,07/20/2005,Ellington,11 TREE TOP RD,310400.0,616000.0,0.503896104,Condo,Condo,01 - Family,MAJOR RENO,DUPLICATE ENTRY - SEE #170256,POINT (-72.41268 41.27921)
140113,2014,11/14/2014,New Haven,24 WOODWARD AVE UNIT 51,76510.0,69000.0,1.10884058,Condo,Condo,25 - Other,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-72.41268 41.27921)
220772,2022,07/11/2023,Hamden,140 EAST GATE LA U140,91350.0,237500.0,0.3846,Residential,Condo,25 - Other,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-72.925726992 41.374339993)
140139,2014,02/25/2015,New Milford,177 WILLOW SPRINGS,78330.0,85000.0,0.921529412,Condo,Condo,14 - Foreclosure,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-73.43973 41.22682)
40226,2004,05/18/2005,Wilton,250 MOUNTAIN RD,255010.0,441000.0,0.578253968,Condo,Condo,14 - Foreclosure,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-73.43973 41.22682)
190081,2019,09/24/2020,Bolton,191 WEST ST,138700.0,187000.0,0.7417,Single Family,Single Family,14 - Foreclosure,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-72.43773 41.7468)
110494,2011,09/17/2012,Wallingford,116 NORTH PLAINS IND RD,455700.0,470000.0,0.969574468,Single Family,Single Family,14 - Foreclosure,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
1500255,2015,11/18/2015,Stamford,38 KANE AVENUE,298070.0,354000.0,0.84200565,Single Family,Single Family,14 - Foreclosure,BELOW MARKET,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
111147,2011,07/16/2012,Bridgeport,25 THERESA PLACE UNIT #27,147690.0,75000.0,1.9692,Three Family,Three Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
180927,2018,09/20/2019,Hamden,34 PATTERSON RD,178500.0,297670.0,0.5996,Single Family,Single Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
110141,2011,08/01/2012,Coventry,206 TWIN HILLS DR,155900.0,225000.0,0.692888889,Single Family,Single Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
60021,2006,02/15/2007,Bethlehem,112 WEEKEEPEEMEE RD,198540.0,270000.0,0.735333333,Two Family,Two Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
19104,2019,04/03/2020,East Haddam,18 MAPLE AVE,160650.0,222500.0,0.722,Single Family,Single Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
130039,2013,08/21/2014,North Canaan,49 FOOTE AVE,118280.0,155000.0,0.763096774,Single Family,Single Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.81895 41.47808)
21344,2021,04/13/2022,Newtown,48 ALPINE CIRCLE,217900.0,380000.0,0.5734,Residential,Single Family,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.243841004 41.425792012)
140131,2014,06/19/2015,Windsor Locks,52B ELM CORNERS,42800.0,61600.0,0.694805195,Condo,Condo,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.243841004 41.425792012)
20019,2002,10/10/2002,Bloomfield,3 GREENBRIER DR,51040.0,134900.0,0.378354337,Condo,Condo,25 - Other,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-72.70241 41.82116)
60308,2006,05/23/2007,Westport,3 NAPPA LN,506300.0,1960000.0,0.258316327,Single Family,Single Family,07 - Change in Property,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.35574 41.12729)
14606,2014,09/28/2015,Glastonbury,45 PEACH TREE RD,215500.0,345000.0,0.624637681,Single Family,Single Family,07 - Change in Property,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.35574 41.12729)
900377,2009,08/02/2010,Westport,31 WOODY LN,2746700.0,4120000.0,0.666674757,Single Family,Single Family,07 - Change in Property,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.32744 41.16011)
32204,2003,07/01/2004,Stamford,50 RIDGE PARK AVE,196980.0,545000.0,0.361431193,Single Family,Single Family,07 - Change in Property,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.32744 41.16011)
90349,2009,06/09/2010,Glastonbury,8 DUTTON PLACE WAY,135700.0,193000.0,0.703108808,Condo,Condo,07 - Change in Property,SOLD BELOW MARKET VALUE,DUPLICATE ENTRY - SEE #170256,POINT (-73.32744 41.16011)
160318,2016,03/30/2017,Torrington,20 COLORADO AVE N,88460.0,55000.0,1.608363636,Single Family,Single Family,25 - Other,EXEC DEED,DUPLICATE ENTRY - SEE #170256,POINT (-73.32744 41.16011)
200091,2020,12/09/2020,Wolcott,119 KNOLLWOOD DR,218290.0,350000.0,0.623685714,Residential,Single Family,25 - Other,non MLS sale; no market time or sales or financing concession data available,DUPLICATE ENTRY - SEE #170256,POINT (-73.32744 41.16011)
100078,2010,01/14/2011,Bethel,39 NASHVILLE ROAD EXT,366860.0,575000.0,0.638017391,Single Family,Single Family,07 - Change in Property,non MLS sale; no market time or sales or financing concession data available,DUPLICATE ENTRY - SEE #170256,POINT (-73.4032 41.35648)
